排序	编码		名称		类型		2020-02-21	2020-02-24	净增长	增长率
1	150023	申万菱信深证成指分级进取		分级杠杆		0.1562		0.1696		0.0134	8.58%
2	515880	国泰中证全指通信设备ETF		ETF-场内		1.2412		1.3241		0.0829	6.68%
3	007817	国泰中证全指通信设备ETF联接A		联接基金		1.1656		1.2369		0.0713	6.12%
4	007818	国泰中证全指通信设备ETF联接C		联接基金		1.1629		1.2339		0.071	6.11%
5	515050	华夏中证5G通信主题ETF		ETF-场内		1.2838		1.3607		0.0769	5.99%
6	008326	东财中证通信A		股票指数		1.0874		1.1512		0.0638	5.87%
7	008327	东财中证通信C		股票指数		1.0872		1.1509		0.0637	5.86%
8	150216	国泰深证TMT50指数分级B		分级杠杆		1.6902		1.7879		0.0977	5.78%
9	159995	华夏国证半导体芯片ETF		ETF-场内		1.2767		1.3481		0.0714	5.59%
10	159801	广发国证半导体芯片ETF		ETF-场内		1.2464		1.3160		0.0696	5.58%
11	001210	天弘互联网混合		混合型		1.1935		1.2587		0.0652	5.46%
12	150246	鹏华互联网分级B		分级杠杆		1.7560		1.8500		0.094	5.35%
13	519674	银河创新成长混合		混合型		6.1423		6.4687		0.3264	5.31%
14	150316	富国中证工业4.0指数分级B		分级杠杆		1.5310		1.6120		0.081	5.29%
15	161033	富国中证智能汽车(LOF)		股票指数		1.4920		1.5690		0.077	5.16%
16	007713	华富科技动能混合		混合型		1.2845		1.3497		0.0652	5.08%
17	512760	国泰CES半导体ETF		ETF-场内		2.4380		2.5616		0.1236	5.07%
18	000534	长盛高端装备混合		混合型		2.2530		2.3660		0.113	5.02%
19	001480	财通成长优选混合		混合型		1.6970		1.7820		0.085	5.01%
20	501046	财通多策略福鑫定开混合		混合型		1.9756		2.0741		0.0985	4.99%
21	512480	国联安中证半导体ETF		ETF-场内		2.2811		2.3950		0.1139	4.99%
22	007490	南方信息创新混合A		混合型		1.8751		1.9660		0.0909	4.85%
23	006103	凯石淳行业精选混合A		混合型		1.0722		1.1241		0.0519	4.84%
24	006814	凯石淳行业精选混合C		混合型		1.0585		1.1097		0.0512	4.84%
25	007491	南方信息创新混合C		混合型		1.8653		1.9556		0.0903	4.84%
26	007685	华商电子行业量化股票		股票型		1.4776		1.5484		0.0708	4.79%
27	008086	华夏中证5G通信主题ETF联接A		联接基金		1.2568		1.3165		0.0597	4.75%
28	008087	华夏中证5G通信主题ETF联接C		联接基金		1.2561		1.3158		0.0597	4.75%
29	501085	财通科创主题3年封闭混合		混合型		1.3940		1.4587		0.0647	4.64%
30	004044	金鹰转型动力混合		混合型		1.2568		1.3143		0.0575	4.58%
31	006502	财通集成电路产业股票A		股票型		1.7967		1.8785		0.0818	4.55%
32	006503	财通集成电路产业股票C		股票型		1.7792		1.8600		0.0808	4.54%
33	150264	华宝中证1000指数分级B		分级杠杆		0.8271		0.8644		0.0373	4.51%
34	002560	诺安和鑫灵活配置混合		混合型		1.4395		1.5040		0.0645	4.48%
35	519642	银河智造混合		混合型		2.0420		2.1320		0.09	4.41%
36	008083	国寿安保研究精选混合C		混合型		1.0909		1.1381		0.0472	4.33%
37	008082	国寿安保研究精选混合A		混合型		1.0915		1.1387		0.0472	4.32%
38	006257	信达澳银先进智造股票型		股票型		1.8773		1.9582		0.0809	4.31%
39	163116	申万菱信申万电子分级		股票指数		1.4953		1.5597		0.0644	4.31%
40	007484	信达澳银核心科技混合		混合型		1.5720		1.6396		0.0676	4.3%
41	512330	南方中证500信息技术ETF		ETF-场内		1.2370		1.2894		0.0524	4.24%
42	004666	长城久嘉创新成长混合		混合型		1.5473		1.6128		0.0655	4.23%
43	002707	大摩科技领先混合		混合型		1.2836		1.3359		0.0523	4.07%
44	007203	银河新动能混合		混合型		1.3523		1.4074		0.0551	4.07%
45	512220	景顺中证TMT150ETF		ETF-场内		1.7704		1.8416		0.0712	4.02%
46	001617	天弘中证电子指数A		股票指数		1.4077		1.4640		0.0563	4.0%
47	001618	天弘中证电子指数C		股票指数		1.3921		1.4477		0.0556	3.99%
48	008281	国泰CES半导体行业ETF联接A		联接基金		1.5284		1.5892		0.0608	3.98%
49	002900	南方中证500信息技术联接A		联接基金		1.3652		1.4194		0.0542	3.97%
50	002939	广发创新升级混合		混合型		2.5260		2.6264		0.1004	3.97%
51	004347	南方中证500信息技术联接C		联接基金		1.3525		1.4062		0.0537	3.97%
